crop_year,County,d1d2wk,d2d2wk,d3d2wk,d4d2wk,MaxT2wk,MinT2wk,Ave2wk,Rain2wk,d1d3wk,d2d3wk,d3d3wk,d4d3wk,MaxT3wk,MinT3wk,Ave3wk,Rain3wk,d1d4wk,d2d4wk,d3d4wk,d4d4wk,MaxT4wk,MinT4wk,Ave4wk,Rain4wk,d1d5wk,d2d5wk,d3d5wk,d4d5wk,MaxT5wk,MinT5wk,Ave5wk,Rain5wk,d1d6wk,d2d6wk,d3d6wk,d4d6wk,MaxT6wk,MinT6wk,Ave6wk,Rain6wk,d1d7wk,d2d7wk,d3d7wk,d4d7wk,MaxT7wk,MinT7wk,Ave7wk,Rain7wk,PGT20
2018,1,11,9,7,5,29.85714286,17.42857143,23.64285714,4.7498,14,10,8,6,30.0952381,18.47619048,24.28571429,6.3246,21,17,13,10,30.46428571,18.78571429,24.625,6.6294,28,22,17,13,30.82857143,19.37142857,25.1,6.985,35,28,18,14,30.95238095,19.66666667,25.30952381,7.6708,40,30,18,14,30.97959184,19.91836735,25.44897959,9.1186,2.51
2018,17,13,11,9,7,30.82142857,18.93650794,24.87896825,10.795,19,16,13,10,31.44444444,19.75396825,25.59920635,14.605,26,23,20,17,31.95039683,20.10714286,26.02876984,14.605,33,30,27,24,32.48253968,20.75238095,26.61746032,14.605,40,37,34,31,32.5952381,20.98015873,26.78769841,14.605,47,44,41,38,32.60204082,21.23015873,26.91609977,14.605,7.14
2018,31,11,9,7,5,30.44047619,17.67460317,24.05753968,4.8514,15,12,10,8,30.79100529,18.6031746,24.69708995,7.1882,22,18,15,12,31.20238095,18.73214286,24.9672619,7.3406,28,23,19,15,31.4031746,19.42698413,25.41507937,7.7978,34,27,22,17,31.53042328,19.76719577,25.64880952,9.2202,40,31,25,19,31.58049887,20.01020408,25.79535147,10.2362,2.21
2018,69,12,10,8,6,30.64285714,18.78571429,24.71428571,5.4102,18,14,11,8,31.14285714,19.80952381,25.47619048,6.6802,24,20,16,12,31.57142857,20.28571429,25.92857143,7.1374,31,25,20,15,31.88571429,20.71428571,26.3,7.493,38,32,27,20,31.88095238,20.92857143,26.4047619,7.9248,43,32,27,20,31.93877551,21.16326531,26.55102041,9.7282,3.13
2018,155,13,10,8,6,30.50396825,18.49206349,24.49801587,7.239,18,14,11,9,31.0026455,19.4047619,25.2037037,12.2174,25,20,16,13,31.66071429,19.80555556,25.73313492,12.2428,31,25,21,18,32.12539683,20.29047619,26.20793651,13.0048,36,28,22,18,32.18518519,20.54365079,26.36441799,14.605,42,33,26,20,32.19954649,20.71428571,26.4569161,15.1638,4.62
2018,205,10,8,6,4,29.72222222,17.34126984,23.53174603,12.9032,17,15,13,11,30.31746032,18.0952381,24.20634921,12.9794,24,22,20,18,30.71428571,18.65079365,24.68253968,12.9794,30,28,26,24,31.17460317,19.19047619,25.18253968,15.5194,36,32,28,25,31.23015873,19.51058201,25.37037037,16.9164,39,34,29,25,31.16780045,19.72789116,25.4478458,24.0792,1.39
2018,271,12,10,8,6,30.9047619,17.03571429,23.9702381,10.7696,17,14,11,9,31.26984127,18.03703704,24.65343915,12.0396,24,20,16,13,31.78373016,18.28571429,25.03472222,12.2174,31,27,23,20,32.0984127,18.95079365,25.52460317,12.3444,38,34,30,27,32.21825397,19.21428571,25.71626984,12.4206,45,41,37,34,32.24489796,19.53854875,25.89172336,12.6492,6.54
2018,275,12,10,8,6,30.28571429,17.92857143,24.10714286,8.2296,15,12,10,8,31,18.76190476,24.88095238,10.0584,19,13,10,8,31.53571429,19.39285714,25.46428571,11.5316,25,17,13,10,31.82857143,20,25.91428571,12.446,30,20,13,10,31.83333333,20.30952381,26.07142857,13.462,31,20,13,10,31.7755102,20.48979592,26.13265306,17.2466,0.5
2018,277,12,10,8,6,29.99206349,19.55952381,24.77579365,5.6134,18,14,11,9,30.6005291,20.18518519,25.39285714,6.9342,24,19,14,11,31.17857143,20.79166667,25.98511905,7.62,31,24,18,14,31.67460317,21.31904762,26.4968254,8.0264,38,31,25,20,31.66666667,21.49470899,26.58068783,8.4074,41,32,25,20,31.6122449,21.65986395,26.63605442,10.6172,3.52
2018,305,12,9,7,5,30.88888889,19.20634921,25.04761905,3.6576,16,11,8,6,31.41534392,20.04761905,25.73148148,8.1026,23,18,14,11,31.7718254,20.16666667,25.96924603,8.1534,30,25,21,18,32.04126984,20.77301587,26.40714286,8.2804,35,29,23,19,32.06481481,20.98544974,26.52513228,13.0048,38,30,24,19,31.99773243,21.17573696,26.58673469,15.7734,2.32
